issue_type,file_path,line_number,message
info,lib\ui\pages\pencarian_page.dart:11,3,Constructors in '@immutable' classes should be declared as 'const'
info,lib\ui\pages\pencarian_page.dart:14,3,Invalid use of a private type in a public API
info,lib\ui\pages\pencarian_page.dart:18,25,The private field _searchController could be 'final'
info,lib\ui\pages\pencarian_page.dart:74,29,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pencarian_page.dart:82,29,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pencarian_page.dart:103,29,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pencarian_page.dart:107,40,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pencarian_page.dart:109,35,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pencarian_page.dart:130,39,Don't invoke 'print' in production code
info,lib\ui\pages\pencarian_page.dart:138,44,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pencarian_page.dart:139,46,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pencarian_page.dart:156,29,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pencarian_page.dart:163,46,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pencarian_page.dart:165,41,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pencarian_page.dart:183,42,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pencarian_page.dart:184,46,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pencarian_page.dart:191,21,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pencarian_page.dart:216,20,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pencarian_page.dart:231,15,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pencarian_page.dart:239,31,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pencarian_page.dart:240,28,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pencarian_page.dart:241,30,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:14,3,Constructors in '@immutable' classes should be declared as 'const'
info,lib\ui\pages\pesanan_page.dart:36,13,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:41,23,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:59,21,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:69,28,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:92,3,Constructors in '@immutable' classes should be declared as 'const'
info,lib\ui\pages\pesanan_page.dart:145,18,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:201,17,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:207,31,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:208,28,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:209,30,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:225,3,Constructors in '@immutable' classes should be declared as 'const'
info,lib\ui\pages\pesanan_page.dart:234,15,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:235,16,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:264,15,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:270,29,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:271,26,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:272,28,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:287,3,Constructors in '@immutable' classes should be declared as 'const'
info,lib\ui\pages\pesanan_page.dart:292,3,Invalid use of a private type in a public API
info,lib\ui\pages\pesanan_page.dart:323,17,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:324,18,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:346,33,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:347,30,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:348,32,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:354,19,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:369,19,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:377,19,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:383,33,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:384,30,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:385,32,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:402,3,Constructors in '@immutable' classes should be declared as 'const'
info,lib\ui\pages\pesanan_page.dart:434,17,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:435,18,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:455,33,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:456,30,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:457,32,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:463,19,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:478,32,The type of the right operand ('Vouchers') isn't a subtype or a supertype of the left operand ('String')
info,lib\ui\pages\pesanan_page.dart:486,19,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:492,33,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:493,30,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:494,32,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:511,3,Constructors in '@immutable' classes should be declared as 'const'
info,lib\ui\pages\pesanan_page.dart:547,15,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:549,16,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:570,29,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:571,28,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:572,32,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:574,15,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:585,11,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:613,15,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:639,15,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:675,7,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:679,18,Use 'const' with the constructor to improve performance
warning,lib\ui\pages\pesanan_page.dart:706,10,The value of the local variable 'key' isn't used
info,lib\ui\pages\pesanan_page.dart:710,14,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:716,13,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:738,30,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:748,35,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:749,32,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:751,34,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:756,19,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pesanan_page.dart:757,19,Use a 'SizedBox' to add whitespace to a layout
warning,lib\ui\pages\produk_detail_page.dart:8,8,Unused import: '../../cubit/product_cubit.dart'
